C_CUSTKEY,C_ACCTBAL,C_NAME,C_MKTSEGMENT,C_PHONE,C_NATIONKEY,C_ADDRESS,C_COMMENT
1,711.56,Customer#000000001,BUILDING,25-989-741-2988,15,"IVhzIApeRb ot,c,E","regular, regular platelets are fluffily according to the even attainments. blithely iron"
2,121.65,Customer#000000002,AUTOMOBILE,23-768-687-3665,13,"XSTf4,NCwDVaWNe6tEgvwfmRchLXak",furiously special deposits solve slyly. furiously even foxes wake alongside of the furiously ironic ideas. pending
3,7498.12,Customer#000000003,AUTOMOBILE,11-719-748-3364,1,MG9kdTD2WBHm,special packages wake. slyly reg
4,2866.83,Customer#000000004,MACHINERY,14-128-190-5944,4,XxVSJsLAGtn,slyly final accounts sublate carefully. slyly ironic asymptotes nod across the quickly regular pack
5,794.47,Customer#000000005,HOUSEHOLD,13-750-942-6364,3,KvpyuHCplrB84WgAiGV6sYpZq7Tj,blithely final instructions haggle; stealthy sauternes nod; carefully regu
6,7638.57,Customer#000000006,AUTOMOBILE,30-114-968-4951,20,"sKZz0CsnMD7mp4Xd0YrBvx,LREYKUWAh yVn",special deposits wake along the ironic foxes. slyly regular deposits are furiously about the blith
7,9561.95,Customer#000000007,AUTOMOBILE,28-190-982-9759,18,TcGe5gaZNgVePxU5kRrvXBfkasDTea,theodolites kindle carefully carefully regular deposits. regular depe
8,6819.74,Customer#000000008,BUILDING,27-147-574-9335,17,"I0B10bB0AymmC, 0PrRYBCP1yGJ8xcBPmWhl5",ironic deposits are quickly after the gifts. regular dependencies hinder slyly after the quickly ex
9,8324.07,Customer#000000009,FURNITURE,18-338-906-3675,8,xKiAFTjUsCuxfeleNqefumTrjS,deposits affix fluffily. blithely final ideas are furiously dolphins. i
10,2753.54,Customer#000000010,HOUSEHOLD,15-741-346-9870,5,6LrEaV6KR6PLVcgl2ArL Q3rqzLzcT1 v2,"bold, final frays sleep carefully special ideas. carefully final asymptotes sleep furiously against the even i"
11,-272.60,Customer#000000011,BUILDING,33-464-151-3439,23,PkWS 3HlXqwTuzrKg633BEi,"furiously express packages are. regular courts play deposits. silent, ironic packages engage. furiously regular a"
12,3396.49,Customer#000000012,HOUSEHOLD,23-791-276-1263,13,9PWKuhzT4Zr1Q,deposits are accounts: fluffily even dependencies haggle fluffily slyly regular requests. theodolit
13,3857.34,Customer#000000013,BUILDING,13-761-547-5974,3,nsXQu0oVjD7PM659uC3SRSp,ironic dependencies according to the slyly even ideas wake idl
14,5266.30,Customer#000000014,FURNITURE,11-845-129-3851,1,KXkletMlL2JQEA,never regular pinto beans boost bl
15,2788.52,Customer#000000015,HOUSEHOLD,33-687-542-7601,23,"YtWggXoOLdwdo7b0y,BZaGUQMLJMX1Y,EC,6Dn",fluffily bold dolphins detect quickly about the special instruction
16,4681.03,Customer#000000016,FURNITURE,20-781-609-3107,10,"cYiaeMLZSMAOQ2 d0W,",deposits nod. blithely unusual
17,6.34,Customer#000000017,AUTOMOBILE,12-970-682-3487,2,izrh 6jdqtp2eqdtbkswDD8SG4SzXruMfIXyR7,packages nod quickly quickly ironic deposits. furiously unusual dependenci
18,5494.43,Customer#000000018,BUILDING,16-155-215-1315,6,3txGO AiuFux3zT0Z9NYaFRnZt,furiously even frays among the fluffily furious epitaphs haggle slyly about the ironic theodolites. iro
19,8914.71,Customer#000000019,HOUSEHOLD,28-396-526-5053,18,"uc,3bHIx84H,wdrmLOjVsiqXCq2tr",blithely express foxes after the stealthy deposits wake slyly even excuses. packages cajole
